image_id,label,final_sim_prev,final_sim_orig,tail_std,converged_flag,attractor_type,convergence_iteration,iter_gt_0.99
1,still_moving,0.8885120153427124,0.6170377731323242,0.03916610983652301,False,none,-1.0,
2,converged_fixed,0.9721671342849731,0.8734040856361389,0.016259915406554058,True,fixed_point,8.0,
3,still_moving,0.9351298213005066,0.9330635666847228,0.02400126411465511,False,none,-1.0,
4,converged_cycle,0.9844658970832824,0.5685369968414307,0.044923649303349106,False,none,-1.0,
5,still_moving,0.8949568271636963,0.7870181202888489,0.023732028124178364,False,none,-1.0,
6,still_moving,0.925418734550476,0.7874983549118042,0.015118232122928553,True,fixed_point,8.0,
7,still_moving,0.8596622347831726,0.7557892203330994,0.002873155499982413,False,none,-1.0,
8,still_moving,0.946859896183014,0.8429667949676514,0.00801498823040872,False,none,-1.0,
9,converged_fixed,0.9821697473526,0.9597232341766356,0.015469185944287629,False,none,-1.0,
10,converged_fixed,0.9590404033660888,0.8350493311882019,0.012098981119075865,False,none,-1.0,
11,still_moving,0.8098856806755066,0.676879346370697,0.05347724165337169,False,none,-1.0,
12,converged_fixed,0.9519282579421996,0.3763536810874939,0.014119011553681697,False,none,-1.0,
13,still_moving,0.9397600889205932,0.6172696948051453,0.10008098717674199,False,none,-1.0,
14,still_moving,0.9398387670516968,0.6146973967552185,0.02966750468980282,False,none,-1.0,
15,converged_fixed,0.9571009278297424,0.7831956148147583,0.015780373883653314,False,none,-1.0,
16,still_moving,0.9207482933998108,0.4114544987678528,0.04803329250205411,False,none,-1.0,
17,still_moving,0.8803828358650208,0.6861007213592529,0.017066348767274732,False,none,-1.0,
18,still_moving,0.9209324717521667,0.6548723578453064,0.0036585914973289637,False,none,-1.0,
19,still_moving,0.9349069595336914,0.7525249719619751,0.009728028903576175,False,none,-1.0,
20,still_moving,0.8897461891174316,0.647971510887146,0.02172797286766336,False,none,-1.0,
21,converged_fixed,0.9735125303268432,0.690846860408783,0.010110569109709509,True,fixed_point,8.0,
22,converged_fixed,0.9640077352523804,0.8630980849266052,0.0025204635367735003,False,none,-1.0,
23,still_moving,0.8558205366134644,0.6273214817047119,0.05343062032674128,False,none,-1.0,
24,converged_fixed,0.9540482759475708,0.5782055258750916,0.0147093693960607,False,none,-1.0,
25,converged_fixed,0.961051344871521,0.8921785354614258,0.01989859317576364,False,none,-1.0,
26,still_moving,0.9243886470794678,0.8126611709594727,0.002400507492063126,False,none,-1.0,
27,converged_cycle,0.9523857831954956,0.4893807768821716,0.022038150456110423,False,none,-1.0,
28,still_moving,0.8347499370574951,0.7575171589851379,0.005289622618205509,False,none,-1.0,
29,still_moving,0.9421851634979248,0.7905323505401611,0.003300009919507907,False,none,-1.0,
30,converged_cycle,0.9819495677947998,0.6638742685317993,0.04239097239122412,True,fixed_point,8.0,
31,still_moving,0.9117480516433716,0.7909579873085022,0.01466856293977005,False,none,-1.0,
33,still_moving,0.8549417853355408,0.5706666707992554,0.014099017209267315,False,none,-1.0,
34,converged_cycle,0.9709338545799256,0.8429317474365234,0.03377964034605867,False,none,-1.0,
35,still_moving,0.9034024477005004,0.6760653257369995,0.006151335608761494,False,none,-1.0,
36,converged_fixed,0.9629077911376952,0.692327082157135,0.016049789510344737,False,none,-1.0,
37,still_moving,0.9380736351013184,0.7398525476455688,0.018265930851616298,False,none,-1.0,
38,still_moving,0.913400948047638,0.5316221117973328,0.02588796102703053,False,none,-1.0,
39,still_moving,0.814592182636261,0.2806732654571533,0.03392495206113573,False,none,-1.0,
40,still_moving,0.8971643447875977,0.7232045531272888,0.031051758387225233,False,none,-1.0,
41,converged_fixed,0.954745888710022,0.8431288003921509,0.018887166343478347,False,none,-1.0,5.0
42,still_moving,0.8832406997680664,0.6792839169502258,0.007532935742564354,False,none,-1.0,
43,still_moving,0.9295358657836914,0.4769215285778045,0.048302615562636465,False,none,-1.0,
44,converged_fixed,0.9555904269218444,0.5454343557357788,0.002514133172898494,False,none,-1.0,
45,still_moving,0.8927567601203918,0.705419659614563,0.019992148629664953,False,none,-1.0,
46,converged_cycle,0.9708371758461,0.9356672763824464,0.03444552347663093,True,limit_cycle_2,7.0,
47,still_moving,0.9265515804290771,0.8013221621513367,0.020433304036292056,False,none,-1.0,
48,still_moving,0.8665077090263367,0.4894329607486725,0.029957571188419175,False,none,-1.0,
49,still_moving,0.9092461466789246,0.7868698239326477,0.01177057824797759,False,none,-1.0,
